,review,date,score,helpful,number_of_reviews,number_of_ratings,average_user_score
657,"The game is not perfect but as a starting pokÃ¨mon game which tries to be more open man does its good work. Catching and exploring without limitation is fun and reading about Hisui's hidden lore has been quite fun. The problem comes when you try to explore for longer times and the graphic holds you off a little, but it is manegable. Overall good but GF should really take more time on games",29-Jan-22,8,0.844827586,4,8,8
658,"Overall PLA is a great game that brings a lot of innovation (a huge understatement) and a more lively atmosphere. Plus it has a good amount of game time for someone to play (25-35 hours and up to 75 to complete everything). Plus it is overall well polished as I haven't seen any reports of major bugs or glitches and the PokÃ©mon/attacks look amazing.However, it has a lot of downsides. The newer PokÃ©mon designs in the game should've been thought out longer in general (I say this as someone who likes around 97% of all PokÃ©mon designs). The visuals are bad obviously, but personally I don't care about this as I would've played a PS5 game if I did. The story is...well..what you would expect from a kid's game. Nothing groundbreaking or offensive. My biggest and arguably my only real complaint, is that there isn't that much gameplay variety. You simply just battle and catch a certain amount of PokÃ©mon, use moves a certain amount of times and do the ""boss battle"" attacking. This is all rather cool, but as explained, it needs a bit more in order to keep me invested. Also the national dex is small and the multi-player is nonexistent. This sounds like a lot of complaining but I am just trying to be as clear as possible about the flaws.So should you buy it? It honestly depends on the person which I know sounds like a cop out, but this is the truth. If you want something that breaks free from the PokÃ©mon formula no matter what:Yes buy it. If you're one of those people that complain endlessly about Breath of the Wild being Empty:Don't think about it. If you're one of those people that are strict and will be annoyed about things not being in the game from before:don't think about it. If you're someone who loves playing around with PokÃ©mon and in the surroundings:Yes you will love it. Either way, I wouldn't worry too much whether you made a bad purchase or not as you'll still be able to have some fun.",29-Jan-22,8,0.805555556,5,5,7.6
659,"Good job, Game Freak! This game is what PokÃ©mon deserves to be, the new formula that works and delivers (even with minor gameplay flaws and missed opportunities and with the graphics it has). Good customization options, nice plot, really great gameplay loop (I haven?t been this invested in a PokÃ©mon game for the gameplay only since X/Y). Solid 8,5 for me.",03-Feb-22,8,0.5,3,4,9.3
660,"This is the best Pokemon game since the N64 Stadium titles and a huge step forward for this franchise. Plenty of room for improvement such as better animations, cleaner visuals and more gameplay mechanics with less grinding would make the sequel to Legends Arceus a contender for GOTY.",31-Jan-22,8,0.836734694,25,26,7.9
661,"English:PokÃ©mon Legends Arceus, is the best PokÃ©mon game since Black 2 and White 2.I'm not saying it's ""a masterpiece"", but it does a lot of what was asked for.This game has the premise of ""Gotcha Them All"", and it succeeds, you have to search every corner, cross sky and sea, everything to have them all, being the PokÃ©mon game that we always wanted from the beginning.The game in many moments gives you the feeling of total freedom, being able to go to almost any corner that is shown on the map.Even if it complies with everything, it is not perfect, being often mediocre.The controls are very good, they respond perfectly, and the vibration gives it the touch.But the pokemon Braviary, has a rough control and is very difficult to control at times.The music is quite good when exploring, I even had to stop to enjoy it in an instant, but the music of the fights is the same all the time, almost all pokemon games are the same in this regard, but when the coach's music is also repeated without changing no more than 2 times, it ends up tiring.The story takes a long time to start, but when it does, it ends up capturing you with the expectation of knowing what is coming, but unfortunately, it ends very suddenly, and the game never gives room for unknowns.This as much as I can share, I hope it helps you when deciding whether to buy the game.EspaÃ±ol:PokÃ©mon Legends Arceus, es el mejor juego de PokÃ©mon desde Black 2 y White 2.No digo que sea ""una obra maestra"", pero hace mucho de lo que se pedÃ­a.Este juego tiene como premisa ""Gotcha Them All"", y lo consigue, hay que buscar en todos los rincones, cruzar cielo y mar, todo para tenerlos a todos, siendo el juego de PokÃ©mon que siempre quisimos desde un principio.El juego en muchos momentos te da la sensaciÃ³n de total libertad, pudiendo ir a casi cualquier rincÃ³n que se muestra en el mapa.Aunque cumple con todo, no es perfecto, siendo muchas veces mediocre.Los controles son muy buenos, responden a la perfecciÃ³n, y la vibraciÃ³n le da el toque.Pero el pokemon Braviary, tiene un control tosco y es muy difÃ­cil de controlar en ocasiones.La mÃºsica es bastante buena a la hora de explorar, incluso tuve que parar para disfrutarla en un instante, pero la mÃºsica de las peleas es la misma todo el tiempo, casi todos los juegos de pokemon son iguales en ese sentido, pero cuando la mÃºsica del entrenador es tambien repetido sin cambiar no mas de 2 veces, termina cansando.La historia tarda mucho en comenzar, pero cuando lo hace, termina capturÃ¡ndote con la expectativa de saber lo que viene, pero lamentablemente termina muy repentinamente, y el juego nunca da lugar a incÃ³gnitas.Esto es todo lo que puedo compartir, espero que te ayude a la hora de decidir si comprar el juego.",02-Feb-22,8,0.666666667,2,2,0
662,"The game is awesome, not perfect. It could be better for sure, mainly in the grafics departement. But after a 30 minutes of tutorial and some dialogue boxes the gameplay really shinies. I had the same felling of losing the notion of time playing this game as i had when playing breath of the wild and that is a good thing to be achieved.",30-Jan-22,8,0.837837838,2,2,0
663,"This is the best Pokemon game Ive ever experienced. They have defiantly have taken some inspiration from Breath of the Wild and have listened to the fans. Sword and Shield was a joke. After ten minuets of that game I hated it but this is totally different. There isn't enough hours in the day to play this.I grew up with Pokemon. I watched the series, some of the movies, played Blue, Gold, Crystal, Ruby and unfortunately Shield. Those games had something new to them in each iteration. Gold had a better progression system. There isn't a huge jump in power levels like there is in Blue. Ruby is probably the tightest Pokemon game I played for a while but when Shield came out I was expecting what Arceus is offering here but we got a rehash of what we've been getting for the last 20 years.This game looks like its in early development or its a proof of concept. Its poor and they need to get some high level talent at Nintendo to bring this to the next level. But the pokemon look good and the moves look even better. It leaves me confused how doing up some environmental textures could be so hard. The lighting is fine but its more a texture issue. The environment doesn't really match the style of the pokemon. Its odd. And you dont really have a sense where you are cause its all kinda samey. Unless your near a waterfall or a beach or something you can use as some kind of landmark. This needs improvements but we're close to getting that game we always wanted.As for gameplay wise its pretty good. I have little issue with the gameplay. Its still turn based and you share exp but its harder still. The pop in and pop out is ridiculous. You could be chasing down a pokemon and then all of a sudden POP it goes away. This needs fixing. In the early 00's its fine but not anymore. The lack of or more the point, the absence of voice over is jarring. Still stuck in the 90's with the text for speech. Pokemon is one of the biggest franchises in the world, they have enough for a voice over budget.Im giving this an EIGHT cause I'm so happy playing this. It has plenty of issues that it really should be a SIX but the nostalgia is strong with this one.",08-Feb-22,8,0.666666667,22,23,6.7
664,"I love this game. This is what i hope for Sword and Shield. Grafics are bad but its Pokemon so what, i mean they made over 200 Pokemon whit new attack animation.I love the exploration (could be more Details to explore), and filling my pokedex :DI think its the right way Pokemon goes. Hope for other games like this one!",30-Jan-22,8,0.833333333,2,3,0
665,Muy buen juego para ser el primero de la saga pokemon en incluir mundo abierto. Aunque si que es verdad que podria mejorarse en muchos aspectos,08-Feb-22,8,0.666666667,2,4,8.5
666,"As we all know is that pokemon has be at a complete standstill for the past 20 years, but now that legends arceus has come out I will admit that im pleased with the expirence and disapointed at the same time, with 20 hours under my belt i have to say, that this game is a good game. Iits not great but its not terrible but its just good. I highly reccomend not looking at the reviews because its filled with people giving the game 10s but also giving the game 2s or 0s so i reccomend just playing the game for yourself, i promise you will enjoy it.",30-Jan-22,8,0.837837838,2,2,0
667,"Soy fan de los juegos de pokemon y este juego me encanto, hermoso en todos sus aspectos, un nuevo diseÃ±o de niveles y de explorarcion que le da un nuevo aire a esta saga. Con algunos problemas grÃ¡ficos pero la experiencia que tuve con Ã©l fue muy gratificante",20-Feb-22,8,0,8,8,8.3
668,"As an turn-based rpg, you can do better on the Switch (almost the entire look and UI is lifted from Breath of the Wild.) As a PokÃ©mon game, it completely blows the other games out of the water. The improvements to the core gameplay are so vast, it will be extremely hard to replay any of the previous entries.Unfortunately for Game Freak, this amount of innovation is setting a high bar. Things like voice acting and dialogue trees are going to be a must for sequels. You can?t get away with copy/pasting the entire game any more.",04-Feb-22,8,0.8,4,4,0
669,"He quedado bastante satisfecho con este juego. Yo llevo sin comprar juegos de esta franquicia desde los lest go, le di una oportunidad a este y de verdad que me a encantado pero... es totalmente mejorable por obvias razones, le faltÃ³ tiempo para pulirlo en casi todos sus aspectos pero la base de lo que ya hay en el juego es muy buena. No sÃ© si volverÃ© en alguna prÃ³xima entrega de la lÃ­nea principal pero por ahora un Pokemon Leyendas 2 tendrÃ¡ bastante mi atenciÃ³n.",02-Feb-22,8,1,5,5,5
670,Considering Game Freak's track record recently this is a really fun (if a bit janky) game.,03-Feb-22,8,0.837837838,47,47,7.3
671,"After almost 20 hours of gameplay, I can sincerely say I am enchanted by this game and just can't put it down. I played it continuously since I bought it. My free time is just filled with it. After seeing what happened with S&S, I had really low expectations: I was saying:""this is going to flop, I am sure of it!"" I am glad that didn't happened. I am not giving it a 10 because I feel there were alot of things they could do with the graphics, goddammit it just needs a bit of polishing, maybe some more cool minigames, different mysteries and wuests that You can randomly find in the wild, that would be amazing. I feel this formula has an amazing poten?ial to become almost a perfect rpg. Anyway I'm glad it is this good and that I bought it. Maybe we'll see DLC to it and even cooler pokemon games in the future.",31-Jan-22,8,0.846153846,1,1,0
672,"The new missions associated with every pokemÃ³n , the freedom to explore not just the open areas around you, but doing with the intention to find a specific type of PokÃ©mon, distinguished not just by his species, but by other specifications , and not just that but how you catch that pokemÃ³n, witch is important to and is a factor that contributes to your research. This is very fun! You have to be careful not just with the one you are aprouching to but with the environment around you and the other creatures that are on it. The art style of the menus, the one where you select the pokemÃ³n you witch to be the first choice on your party, to be always at your disposal, the new fÃ­sicas pokedÃ©x with all his missions by pokemÃ³n already mentioned, the overal layouts and the art choices are very good and create that feeling of being on the medieval era in a very good way.The low points are the graphic questions and the lack of other cities or locations with more elements, but it doesn?t decreases the enchantment that is this game!!",29-Jan-22,8,0.849056604,1,1,0
673,"Los graficos son un desastre, y el tutorial es largo y tedioso. Y hasta ahi van los puntos malos, es el mejor pokÃ©mon en muchisimos aÃ±os, el nuevo gameplay es muy divertido, el mundo abierto es basicamente lo que tendrÃ­a que haber sido el wild area en Espada/Escudo. Explorar las diferentes areas resulta muy divertido y el juego te recompensa por ello.Yo entiendo que no te pueda gustar, pero el nivel de hate que esta recibiendo por algunos personajes es completamente injustificado, gente que le da un 1 porque un juego que no pensaban jugar tiene malos grÃ¡ficos. Esa misma gente que esta bajando el puntaje del usuario de Metacritic, que le molesta que los demas disfruten un juego.",29-Jan-22,8,0.846153846,1,1,0
674,"Almost 20 hours in and loving it! The battle mechanics are great and the fact that some wild PokÃ©mon are out for your blood as soon as they see you is both hilarious and terrifying. The only downside for me is the graphics, the water especially. Overall, a breath of fresh air for the franchise.",29-Jan-22,8,0.846153846,1,1,0
675,"He visto las crÃ­ticas negativas de otros usuarios y si bien comparto algunos aspectos criticables, como lo son los grÃ¡ficos, hay otros que son totalmente disparatados. Si tÃº, que aÃºn no compras el juego, lees una de esas crÃ­ticas negativas donde consideran a Pokemon Sword & Shield mejor que este juego, no te puedes tomar para nada en serio esa crÃ­tica. Pokemon Sword & Shield es una oda al facilismo, insultantemente fÃ¡cil, una de las peores entregas de la saga Pokemon y que hizo que la Nintendo Switch estÃ© en deuda con los fans.Habiendo aclarado esto, el Pokemon Arceus empieza lento por un tutorial tan extenso que nos puede tomar hasta 3 horas completar. Superado el tutorial, y conociendo las mecÃ¡nicas el juego, siento que se vuelve adictivo, no solo por completar la pokedex, sino tambiÃ©n para completar las misiones secundarias. Se vuelve repetitivo en un momento? SÃ, pero Â¿quÃ© juego de pokemon no es repetitivo? AquÃ­ lo importante es quÃ© tanto te dura la diversiÃ³n hasta que se torne repetitivo. Personalmente me gusta el farmeo y soy seguidor antiguo de la saga. El juego a veces peca de mucho texto y el hecho que no haya voces aÃºn es algo imperdonable en la Ã©poca en la que vivimos.Nintendo ha dado un paso pequeÃ±o, pero un paso al fin. Para mucho este juego puede ser una beta para algo grande. Yo lo estoy disfrutando, y esperarÃ© una futura entrega con todas las mejoras necesarias para que un juego de pokemon aspire a ser lo que realmente los fans queremos.",03-Feb-22,8,0.839285714,1,1,0
676,"Fun game. Didn't blow my mind, but it definitely laid the groundwork for a future game that could. It doesn't surpass the experience I had playing the gen 1-3 games as a kid, but the shake-ups to the formula were, for me, just enough for the series to feel fun again for the first time in over a decade.The game's visuals seem to be the most common complaint but I don't really see it. Gamefreak have never exactly been masters of aesthetic quality and I'm fine with that. But it looks passable to me, sometimes even pleasant. Roaming around the village the first couple hours reminded me a bit of the Utawarerumono series. The main zones did start to become pretty drab after a while but they didn't make a poor first impression on me. Terrain textures don't matter to me, they could have made them flat colors for all I care. The mesh LOD pop-in is a much bigger problem.The big things I liked about the game:-The main gameplay loop is fun. Going out of my way to fill out the pokedex and earn new stars never got boring to me.-As someone who likes JRPGs but is tired of encounters random or otherwise, this new approach to pokemon battles feels nice. Starting and ending battles feels seamless, and if a battle isn't going my way I can quite literally just turn around and walk away. Love it.-The effort level system, while it's not without drawbacks, makes the game more challenging. The EV system from the mainline pokemon games rewards you just for sticking with a pokemon long term by effectively giving them massive stat modifiers. In this game my main never felt invincible until I went out of my way to max out their ELs. Though it does feel kinda gamey compared to EVs, especially the process of levelling them. But it's just nice to actually be able to see the numbers now.-Each pokemon has an inventory of moves now, and you can swap them in and out of the four in use whenever you want. I like this a lot better than the way it works in the mainline games.-There's an item that lets you evolve pokemon you would otherwise need to trade to evolve. As a guy who never really cared for the trading thing, I appreciated this a lot.-Mounts are very cool (but some more than others)All my big problems with this game, most of which are quality of life related:-You can't switch between zones without returning to the hub area first. And you can't just return to the village at will either, you have to get back to a camp first and talk to the scientist guy with his goofy hat first every single time. And when you need to go somewhere in the village for something, you can't just leave the second your business is complete, you have to walk or fast travel to the gate first. This started to get really annoying after the first few hours. It would be so much better if they let you jump between zones freely from the map.-The village is so slow to get around that it's usually faster to open the map and fast travel to the building across the street than it is to just walk there. All the areas where you don't have access to mounts feel annoyingly spacious in general-The pokebox (well, this game's equivalent) quickly becomes an eyesore. You have to talk to specific NPCs to access it, and there is no meaningful option to automatically sort or filter it. For this game in particular, this is a big problem. Between the ability to seamlessly throw pokeballs at wandering pokemon without encounters, the new pokedex research system and the new effort level system, you are encouraged to catch every pokemon you lay eyes on. But as for actually sorting through all those pokemon you catch, this game makes that process no less laborious than it would be in one of the 20 year old Pokemon games. That sucks. A lot.-There's no option to skip most cutscenes. The 'cinematic' moments you're free to skip, but the boring conversations you have 5 times each throughout the game you have to slowly click through each line of uninteresting dialogue.-No option to shorten or disable combat animations-The main boss fights for each zone are pretty lame. Not because the bosses themselves are uncool, but because the player's role in the fight is to chuck 100 bean bags at them.-The mounts vary in quality. They're more or less this game's answer to the Bicycle and traversal HMs from previous games. The deer is pretty great. The Surf mount is awesome and for sure a highlight of the game. The rest though are just lame. I expected the flying one to completely change how I interacted with the zones I'd been exploring up to that point; because it can fly, right? That should be awesome, like an aircraft in a GTA clone that you can pull out of your pocket. But no, it's just a glider pretty much. I mean gliders aren't so bad, but, cmon man. That was a massive letdown after how cool the fish was.",29-Jan-22,8,0.844827586,1,1,0
677,"Are graphics good? In terms of landscape, no they are about as basic as it gets nowadays, not necessarily bad just subpar and I have seen the lowered framerate that the PokÃ©mon get have when you get a certain distance from them.In terms of actual gameplay itself though, I really enjoyed it, the core loop of finding PokÃ©mon and doing different task in order to get more research point is enjoyable. You sort of just get lost in the exploring and finding PokÃ©mon only to find yourself at one of the corners of the area and you probably still missed a few things on the way.Despite the graphics this is a fun casual game to play, I could easily see someone playing this on a long train ride or car trip which is the sort of game you'd want on a portable system.",29-Jan-22,8,0.849056604,1,1,0
678,"This is, finally, a very solid entry in a franchise that has been stagnating for the last half a decade (being very generous). After SwSh, which was easily my least favorite Pkmn game of all time, and BDSP, which was, to me, an extremely pointless retread of an old game with very little in the way of anything new or compelling to offer, I was extremely skeptical and pretty convinced this game would end up being a mess. But, my curiosity ended up getting the better of me and I really have to say, I've been pretty thoroughly won over here. Ultimately it comes to the gameplay actually being quite compelling this time around, and it all comes down to the fact this game actually requires some thought on the part of the player. It's not terribly difficult/unforgiving or anything, but it isn't mindlessly easy either. You might actually need to think about type match ups, or what moves to teach your Pokemon, there might even be a bit of planning, resource management, and strategy at play here--in a Pokemon game! Imagine that, huh? Anyway I have no real massive complaints on the game itself, its quite fun, and not in the mindless, check a bunch of things off a list sort of way (even though there definitely is some that here). The only big shortcoming here is the visuals. I have never cared much about graphics, but I unfortunately have to say the game looks awful. Gamefreak needs more staff in their visual department and that's all there is to it. It isn't actively detrimental to the game in my opinion, but it's definitely going to both some people more than others, so be aware.",30-Jan-22,8,0.849056604,1,1,0
679,"Un juego entretenido, las mecÃ¡nicas y todo lo que siempre se quizo de PokÃ©mon como la libertad y las capturas se siente mÃ¡s fresco que nunca, los PokÃ©mon reaccionan y hay animaciones mejores en muchos PokÃ©mon y personajes, es un buen paso en la direcciÃ³n correcta hacia la saga, aunque hay un enorme pero y eso es los grÃ¡ficos, si es algo que todos hablan pero la realidad es que el apartado grÃ¡fico le resta puntos debido a que ya se han visto mejores cosas correr en la switch y Gamefreak pudo tomar otro aÃ±o para desarrollar ese apartado, aunque si la empresa toma eso como lecciÃ³n entonces esperemos que la saga vaya por un mejor camino en el que todo se vea bien y se sienta bien en conjunto",30-Jan-22,8,0.846153846,2,2,0
680,"I'm 10 hours in and look forward to this game. I was quite disappointed in my first few hours of the game (minus the opening dialogue, which gave me goosebumps). What i saw was an under baked game, with PokÃ©mon sprites fluctuating in quality (depending on where you were standing) & a complete Zelda BOTW rip off with less charm.However, once you get past the slow start & inconsistent graphics, the game starts to pick up. As your team gets stronger, you're able to do more & less likely to get destroyed in the wild. You can backtrack to see what you've missed previously.Once you get used to the mechanics & know how to navigate around it's actually pretty fun. There are plenty of side quests it's actually a bit annoying & overwhelming because you'll see 10 trillion people asking you to do things in the village.After **** on the game a bit, I do want to say there are some moments in the game that are really beautiful, e.g. the theme piano music starting as you're undetected in the grass & about to throw a pokeball at a Kadabra (lol). Also the combat is pretty good & quite visually appealing, although it's a bit derpy that you can run into the middle of the battle. Anyways, all things considered, the game has definitely grown on me & it can actually be a bit addictiveAnyways, after my quick review, I would say don't take my opinion for it, try it yourself & make your own mind up.",30-Jan-22,8,0.837209302,1,1,0
681,"It is obvious that the game is not developed enough as one would like, but in my opinion it is a very good start for a new vision of the franchise in which we can capture the Pokemon in a more realistic world, see the whole surface and also not need loading screens, I hope that from now on the next installments seek to use this formula but improve it notably, since it obviously limps a lot in the graphics and in the feeling of a living world",30-Jan-22,8,0.840909091,1,1,0
682,"Visuals and graphic are really bad as always for a pokÃ¨mon game and it's right to blame gamefreak for this, the main storyline it's a bit lame but doable, once you get used to the graphic style (especially in the first zone) and to the PokÃ©mon flying at 3 fps in the distance, you will start to get captured by the game and really enjoy the fresh innovations and the new type of gameplay.",30-Jan-22,8,0.813953488,1,1,0
683,One of the best PokÃ©mon since the beginning. It's been a long time since I had fun capturing PokÃ©mon and seeing new one when I'm exploring the map. Graphic wise they could have been better but since it's a first open world for them I was ok with it. Hope in the future they continue to make game like this one and they upgrade the graphic.,30-Jan-22,8,0.842105263,1,1,0
684,"Been playing PokÃ©mon since platinum and been through quite a bit of burn out from the last couple of games so how does legends hold up many will ask. Let?s get the big downside done first the lack of art direction I personally don?t mind lower graphics but this whole experience could of been more stylized like mhst2 or a game I picked up recently to play nino kuni which is a pretty old game it came out on the PlayStation 3 and is on switch but holds up because of it?s art direction. Second issue I?ve had is mostly the no abilities and held items on the PokÃ©mon help differentiate PokÃ©mon from each other in battle and because I like a few layers of complexity specially in turn based JRPGs.Now we?re past the bad first can I can say is this is the most fun I?ve ever had catching PokÃ©mon as the game allows you to engage them in a few different ways. Stealth is the first option and the method of my choice getting in the bonus from throwing the ball at their back is very satisfying, you can take the PokÃ©mon head on in battle if you want but most PokÃ©mon will run early game so for those who run start the battle back throwing your PokÃ©mon at them from behind fun the stun. Filling out the dex I thought was gonna be tedious but it?s fun as you gotta engage with a few different aspects of the the game you can catch them to level up your research level of said PokÃ©mon, give them berries, find ones of different weight/size, evolve, defeat them, battle with them to see them perform moves also yes it?ll count if you use them yourself in battle, and stealth catching them can also add to the research levels. Also exploring the open zones finding PokÃ©mon is great specially when you find a rare encounter you didn?t see the first time going through the area. Pro tip heavy balls early game are your friend but you gotta get close but it?s worth specially for catching alpha PokÃ©mon as they give a seed of mastery you can use to master a move back in town to use heavy or agile style with said move, great exp for the team, and a good chunk of money finally money which you?ll need to upgrading your inventory size.Onto the story and characters without any spoilers they are pretty good specially by PokÃ©mon standards. As usual PokÃ©mon has very visually striking characters and they have great personalities. Too bad there is no voice acting which feels like the next step for PokÃ©mon to go with their game as I have a tendency to speed read without voice acting and then kinda forget a little what is said after the fact but that?s me. But overall I think the story probably is the best I?ve seen out of PokÃ©mon black and white.In conclusion, I believe this game is great with all the ways you can engage with catching and filling your PokÃ©dex. The technical limitations show very heavily but the PokÃ©mon themselves are full of life and personality with how they are animated hopefully in the future these kind of games are allowed more time to bake in oven with a more solid art direction. Story and characters are great but still voice acting feels like it would do wonderfully in a series like this adding to the charming characters. Overall this game is an 8/10 if they continue with this formula for older audiences that?ll be a win",30-Jan-22,8,0.842105263,1,2,0
685,"Huge step foreward for pokemon. The semi-open world is a huge improvement for pokemon, but graphics could be better. And the lack of trainer battles is the one point I?m critical of the game, even thought it?s explained by the story. Therefore only 8/10Other Positive: + improved fighting systems+ elite pokemon+ crafting + no need for trading with real people to get pokemon like gengar+ pokedex system+ + a lot of potential for upcoming gamesNegative:- graphics outdated for 2022- lack of trainer battle?s",30-Jan-22,8,0.853658537,1,1,0
686,"The game is not perfect by far, for me mainly the graphics are the greatest point of disappointment. If only they would have taken a little longer to polish it out but alas. I can look over it however since I think the game is the best and funniest PokÃ©mon game since the Nintendo DS days. It's also the first game in a long time that I can truly play for hours on end, Day after day. Hatching a plan to sneak up to a strong PokÃ©mon you don't really want to fight but still catch and seeing that plan work out is the best thing ever. And even when you fail there is still something to learn from that failure to apply the next time. The AI and wild PokÃ©mon also feel stronger then other games, which for me is a huge plus. Makes you really think about what team you're gonna bring when going into the wild.TLTR : even though not perfect still a very fun game and super refreshing for the PokÃ©mon franchise. I'm excited to see what they'll do next with this !",30-Jan-22,8,0.846153846,1,1,0
687,"I do enjoy this game. Not as much as I would if it were a traditional pokemon game. My only gripe really is the opening; It felt like it took foreeeeeever to actually start my journey after having to shovel through dialogue and cutscenes, the tasks needed to advance. They just felt repetitive, and the world felt a bit empty. My entire time playing it, I was imagining what it would be like to do battle in a gym or wandering through kanto, hoenn, or johto regions with this new engine. I hope they think about doing such that for the next canon game.",30-Jan-22,8,0.837837838,1,1,0
688,"All'inizio mi ha spiazzato un po' da fan della serie, ma adesso ci passo ore e ore",14-Feb-22,8,0,1,1,0
689,Definitely imperfect and glitchy but lots of fun. I like that the battles are a bit more difficult. This is the direction they should have been taking for years.,30-Jan-22,8,0.842105263,1,1,0
690,"Overall it's a good game. I like the new ideas like catching Pokemon without having to enter combat or quickly switching between Pokemon during a battle. I also like the open world sections and I enjoyed playing through the story. Unfortunately, the game is limited by the hardware it runs on.",30-Jan-22,8,0.842105263,1,1,0
691,"This is the game we?ve all been waiting for as day-one PokÃ©mon fans. Back in the days of Red and Blue, this is what we imagined the world of PokÃ©mon to be like. The open areas where you can joyously yeet pokeballs at all the mons in the overworld is oh so satisfying. To be able to have a linear path with the story, but still give you a lot of freedom in terms of how you want to build your team and gain experience with all of the research required to complete the first PokÃ©dex is a true blend of what fans have desired. While I think this game proves to be the strongest game in the franchise, gameplay-wise, I will say the artistic direction could?ve used a lot more talent. To see BOTW on switch as a launch title and look way more robust in terms of the environment than Legends, says to me that Gamefreak is in dire need of fresh eyes to lead them into their next core titles, as well as a beefed-up switch to enhance the overall experience. With that being said, the game is still looking to be a GOTY contender.",30-Jan-22,8,0.857142857,1,1,0
692,Love this Game. Made an account just to give it a rating!. Just feels like it's heading in the right direction!. So many good changes that make the experience much better and new.,31-Jan-22,8,0.842105263,1,1,0
693,"the game is very good, the story is not bad, there are moments in the game that are very well done but there are others that are not, for example, there are many bugs.",31-Jan-22,8,0.84,1,1,0
694,gioco molto bello a livello di gameplay e di innovazione ma peccato per il lato tecnico la grafica fa pena ma il gameplay Ã¨ molto bello,31-Jan-22,8,0.842105263,1,1,0
695,"First of all: i didn't finished the game yet but i have an idea of how this game is. I am absolutely loving this game, finally some good attack's animations, a good plot with interesting charachters and lore, but i think that the best part is the actual open world, even if the graphic could've be better , the ambients are just fantastic. I love the pokedex mechanic and i think that is the real fun core of the game. However i also found some strange things that made me a little confused: As i've already said, the graphics are not THAT good, but this is not a big deal for me.There are too many useless praises to the main charachter that sometimes feel a little bit cringe.The game tends to be a little bit repetitive in some mechanics, like finish a boss then obtain a new level, then defeat another boss ect ect.",31-Jan-22,8,0.842105263,1,1,0
696,"This game is one of the most important entries that the PokÃ©mon company has ever done. Thankfully, this game delivers an experience that many PokÃ©mon fans have been waiting for years. However there are small flaws or annoyances that keep it from being the ultimate experience for a PokÃ©mon man.Let?s start out with some flaws. The game doesn?t look at its best even for Nintendo Switch standards. Everything seems to just be a lack of polish or detail. But that doesn?t mean that the graphics are always bad. Just to the point where it starts to get distracting and sticks out. The fixed camera when first entering a battle or talking to an npc can either clip through or be completely obstructed by an object. (Thankfully in PokÃ©mon battles you can move around the battlefield) One more thing is that through the three noble PokÃ©mon battles that I have completed, which serve as the boss battles of the game. They all feel like dodge and throw, with no real gameplay depth outside of it. You can send out PokÃ©mon when the noble PokÃ©mon is stunned, but you can completely ignore this message and keep on throwing balms and win without sending out a single PokÃ©mon. That?s it on the flaws, I might edit this review if I encounter more problems or good things about the game. Now for the good things. First of, this is a complete shift from the traditional PokÃ©mon formula. There is no gym battles, elite four, or any league to become champion of. Your job is to research PokÃ©mon and create the region?s first PokÃ©dex. I feel this gameplay can make or break some peoples interest to buy this game. But, I encourage PokÃ©mon fans to give this a try for themselves to see if this is the style of gameplay they enjoy to play. The gameplay is about catching and researching PokÃ©mon in which the objectives can vary between defeating the PokÃ©mon with certain moves, feeding it berries, seeing it use moves, or just straight up catching it. Alpha PokÃ©mon can also appear around the map and will always be tens of levels above your party. PokÃ©mon can also deal damage to you, the player causing you to faint and lose some items if you take too much damage. I love the animations of the PokÃ©mon, because they were able to focus on a smaller pool of PokÃ©mon and actually delivering on that promise. (Let?s not talk about SWSH) PokÃ©mon battles have also increased the freedom of the player. Now after a battle starts, you are freely able to move around the battlefield and look around with different viewing angles. A new mechanic is added with agile and strong styles of moves. Agile moves decrease the power of the move and give your PokÃ©mon more likely chance of getting their next move soon. Strong style is the opposite, increasing power and less likely chance of getting the next move sooner. This does give an extra layer of strategy and also scraps the idea of alternating moves. You can and will get two turns in succession or take two moves from an opponent in a row. Side quests can be lackluster but be a good thing to do when you don?t want to progress the story. Speaking of the story, I really can?t judge the story based on my opinions because of my style of gameplay. But when I can say is that there is more dialogue and a lot more cutscenes than a regular PokÃ©mon game. All in all, I support the gameplay direction that gamefreak is trying to do and hopefully this can be a regular occurring series and that some of the ideas will be implemented into gen 9 and beyond. I am a big PokÃ©mon fan and I hope that gamefreak will finally turn around the quality of games that have been released these last few years.",31-Jan-22,8,0.857142857,2,2,0
